CreateProcessInternalW,CreateServiceA,CreateServiceW,CryptExportKey,CryptGenKey,DeviceIoControl,EnumServicesStatusA,EnumServicesStatusW,FindWindowA,GetAdaptersAddresses,GetComputerNameA,GetComputerNameW,GetDiskFreeSpaceExW,GetDiskFreeSpaceW,GlobalMemoryStatusEx,InternetOpenA,IsDebuggerPresent,LdrGetDllHandle,LookupPrivilegeValueW,MoveFileWithProgressW,NtAllocateVirtualMemory,NtCreateFile,NtCreateKey,NtGetContextThread,NtMapViewOfSection,NtProtectVirtualMemory,NtQuerySystemInformation,NtResumeThread,NtSetContextThread,NtSetValueKey,NtTerminateProcess,NtUnmapViewOfSection,NtWriteFile,Process32NextW,RegOpenKeyExA,RegOpenKeyExW,RegSetValueExA,RegSetValueExW,SetFileAttributesW,SetWindowsHookExA,SetWindowsHookExW,ShellExecuteExW,WriteConsoleA,WriteConsoleW,WriteProcessMemory,Family,row_sum,Process,System Info,Memory,Registry,File System,Services,Network,GUI Interactions,Privileges,Devices,Cryptography,Threads,Data access and storage,Generic OS queries,Memory (%),Network (%),Process (%),Registry (%),System Info (%),Security,Services (%),UI artifacts,File System (%),Privileges (%),GUI Interactions (%)
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,13,0,1,2,0,0,0,1,0,0,0,0,0,0,0,6,2.542372881,0,0,3.333333333,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,1,0,0,1,0,1,0,9,20,1,1,1,2,2,0,1,2,1,0,0,0,0.15,0,1.823188164,1.574222479,1.960784314,3.529069526,1.888189559,0.05,0,0,3.322191171,1.466921945,3.072307752
1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,13,1,1,2,0,0,0,0,0,0,0,0,0,0,0,5.504587156,0,3.333333333,0,3,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,10,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4.761904762,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,11,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.166666667,0,3.550295858,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,9,16,1,4,1,0,1,0,0,0,0,0,0,0,0.0625,0.0625,1.953590823,0,2.564102564,0,9.623689081,0,0,0,1.881772648,0,0
1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,11,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.166666667,0,3.550295858,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,9,16,1,2,1,0,1,0,0,1,1,0,0,0,0.125,0.0625,2.156290194,0,2.564102564,0,4.81184454,0.0625,0,0,2.060486093,1.902251215,1.976568828
0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,1,0,0,0,9,19,0,2,1,2,2,0,1,1,1,0,0,0,0.157894737,0.052631579,1.916932907,1.632842629,0,3.697978714,4.166666667,0.052631579,0,0,3.461310783,1.551201185,1.590438748
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,1,0,0,1,0,1,0,9,20,1,1,1,2,2,0,1,2,1,0,0,0,0.15,0,1.823188164,1.574222479,1.960784314,3.529069526,1.888189559,0.05,0,0,3.322191171,1.466921945,3.072307752
